# Athena++ history data
# [1]=time     [2]=dt       [3]=mass     [4]=1-mom    [5]=2-mom    [6]=3-mom    [7]=1-KE     [8]=2-KE     [9]=3-KE     [10]=tot-E   
  4.20003e+01  7.41837e-04  2.80672e-01  2.26621e-02  3.23518e-01  0.00000e+00  7.52604e-03  2.53970e-01  0.00000e+00  3.59304e-01
  4.25008e+01  7.91724e-04  2.62857e-01  1.84425e-02  2.97361e-01  0.00000e+00  7.39729e-03  2.29657e-01  0.00000e+00  3.26635e-01
  4.30006e+01  7.60535e-04  2.48427e-01  1.49237e-02  2.80304e-01  0.00000e+00  5.44850e-03  2.17059e-01  0.00000e+00  3.07539e-01
  4.35003e+01  7.38645e-04  2.31703e-01  1.48790e-02  2.58899e-01  0.00000e+00  5.81913e-03  1.98431e-01  0.00000e+00  2.82198e-01
  4.40003e+01  7.18101e-04  2.18885e-01  1.12187e-02  2.40860e-01  0.00000e+00  4.15292e-03  1.80823e-01  0.00000e+00  2.58658e-01
  4.45002e+01  7.21512e-04  2.07383e-01  1.32401e-02  2.26453e-01  0.00000e+00  4.05537e-03  1.68581e-01  0.00000e+00  2.42028e-01
  4.50000e+01  7.54596e-04  1.94906e-01  1.16846e-02  2.10971e-01  0.00000e+00  3.23421e-03  1.55779e-01  0.00000e+00  2.23652e-01
  4.55001e+01  7.75898e-04  1.84825e-01  1.29093e-02  2.02050e-01  0.00000e+00  3.17863e-03  1.51774e-01  0.00000e+00  2.16351e-01
  4.60004e+01  7.51196e-04  1.74994e-01  1.19101e-02  1.91567e-01  0.00000e+00  4.16100e-03  1.44850e-01  0.00000e+00  2.06154e-01
  4.65003e+01  7.25269e-04  1.65837e-01  7.67820e-03  1.80751e-01  0.00000e+00  3.13515e-03  1.35256e-01  0.00000e+00  1.92946e-01
  4.70004e+01  7.28205e-04  1.56477e-01  8.29311e-03  1.70008e-01  0.00000e+00  2.73216e-03  1.25541e-01  0.00000e+00  1.79616e-01
  4.75006e+01  7.60932e-04  1.48974e-01  8.85677e-03  1.60689e-01  0.00000e+00  2.52255e-03  1.17875e-01  0.00000e+00  1.68909e-01
  4.80006e+01  7.50291e-04  1.41139e-01  7.33167e-03  1.55644e-01  0.00000e+00  2.33142e-03  1.17099e-01  0.00000e+00  1.65584e-01
  4.85007e+01  7.43856e-04  1.34226e-01  7.22619e-03  1.48103e-01  0.00000e+00  2.68736e-03  1.11208e-01  0.00000e+00  1.57379e-01
  4.90002e+01  7.27266e-04  1.28030e-01  6.93586e-03  1.40499e-01  0.00000e+00  2.39657e-03  1.04391e-01  0.00000e+00  1.48196e-01
  4.95005e+01  7.35999e-04  1.21134e-01  6.24247e-03  1.35379e-01  0.00000e+00  1.94947e-03  1.01915e-01  0.00000e+00  1.43452e-01
  5.00005e+01  7.47160e-04  1.15892e-01  6.24040e-03  1.29836e-01  0.00000e+00  2.14354e-03  9.79031e-02  0.00000e+00  1.37489e-01
  5.05007e+01  7.53442e-04  1.10421e-01  6.15463e-03  1.23955e-01  0.00000e+00  2.05738e-03  9.33137e-02  0.00000e+00  1.30725e-01
  5.10005e+01  7.19009e-04  1.04736e-01  5.66226e-03  1.19451e-01  0.00000e+00  1.96241e-03  9.09472e-02  0.00000e+00  1.26756e-01
  5.15006e+01  7.42810e-04  1.00042e-01  4.68032e-03  1.14610e-01  0.00000e+00  1.96478e-03  8.74432e-02  0.00000e+00  1.21682e-01
  5.20003e+01  7.36349e-04  9.57340e-02  4.62944e-03  1.09283e-01  0.00000e+00  1.70578e-03  8.23048e-02  0.00000e+00  1.14554e-01
  5.25000e+01  7.31921e-04  9.12416e-02  5.17293e-03  1.05520e-01  0.00000e+00  1.83804e-03  8.08007e-02  0.00000e+00  1.11550e-01
  5.30002e+01  7.28114e-04  8.68207e-02  4.44182e-03  1.01915e-01  0.00000e+00  2.11269e-03  7.92583e-02  0.00000e+00  1.09020e-01
  5.35002e+01  7.43707e-04  8.33441e-02  2.75122e-03  9.72483e-02  0.00000e+00  1.82729e-03  7.46092e-02  0.00000e+00  1.02877e-01
  5.40006e+01  7.16811e-04  7.95931e-02  4.30371e-03  9.25429e-02  0.00000e+00  1.44257e-03  7.03717e-02  0.00000e+00  9.68026e-02
  5.45003e+01  7.27243e-04  7.56904e-02  4.67653e-03  8.96151e-02  0.00000e+00  1.91202e-03  6.99939e-02  0.00000e+00  9.56002e-02
  5.50007e+01  7.20463e-04  7.25608e-02  2.61794e-03  8.69241e-02  0.00000e+00  1.99600e-03  6.90461e-02  0.00000e+00  9.37691e-02
  5.55003e+01  7.36069e-04  6.96051e-02  2.44596e-03  8.16873e-02  0.00000e+00  1.38323e-03  6.24247e-02  0.00000e+00  8.55395e-02
  5.60006e+01  7.39241e-04  6.63418e-02  4.05653e-03  7.84795e-02  0.00000e+00  1.41130e-03  6.08770e-02  0.00000e+00  8.27999e-02
  5.65004e+01  7.28040e-04  6.34647e-02  3.17752e-03  7.66150e-02  0.00000e+00  2.04155e-03  6.13106e-02  0.00000e+00  8.28933e-02
  5.70006e+01  7.27777e-04  6.08213e-02  1.44603e-03  7.25301e-02  0.00000e+00  1.66851e-03  5.69101e-02  0.00000e+00  7.75237e-02
  5.75007e+01  7.30981e-04  5.82615e-02  3.01978e-03  6.81028e-02  0.00000e+00  1.18563e-03  5.20295e-02  0.00000e+00  7.11579e-02
  5.80004e+01  7.20109e-04  5.55650e-02  3.69090e-03  6.65829e-02  0.00000e+00  1.58378e-03  5.30185e-02  0.00000e+00  7.15483e-02
  5.85001e+01  7.18492e-04  5.31867e-02  1.59655e-03  6.45981e-02  0.00000e+00  1.73110e-03  5.23382e-02  0.00000e+00  7.03256e-02
  5.90007e+01  7.25708e-04  5.07859e-02  1.22816e-03  6.00053e-02  0.00000e+00  1.17384e-03  4.64449e-02  0.00000e+00  6.31500e-02
  5.95005e+01  7.35268e-04  4.83740e-02  2.69508e-03  5.71188e-02  0.00000e+00  1.06125e-03  4.44319e-02  0.00000e+00  6.00696e-02
  6.00006e+01  7.11981e-04  4.62757e-02  2.27318e-03  5.61251e-02  0.00000e+00  1.61404e-03  4.53301e-02  0.00000e+00  6.07579e-02
  6.05004e+01  7.30502e-04  4.44158e-02  5.75072e-04  5.30797e-02  0.00000e+00  1.37524e-03  4.19304e-02  0.00000e+00  5.65689e-02
  6.10006e+01  7.35218e-04  4.24030e-02  1.86881e-03  4.98491e-02  0.00000e+00  8.71097e-04  3.84497e-02  0.00000e+00  5.19712e-02
  6.15002e+01  7.24357e-04  4.03544e-02  2.22458e-03  4.85120e-02  0.00000e+00  1.13135e-03  3.85669e-02  0.00000e+00  5.15597e-02
  6.20004e+01  7.14537e-04  3.86183e-02  1.07500e-03  4.73210e-02  0.00000e+00  1.42303e-03  3.86387e-02  0.00000e+00  5.13163e-02
  6.25005e+01  7.16654e-04  3.70486e-02  7.95918e-04  4.43743e-02  0.00000e+00  9.34287e-04  3.48412e-02  0.00000e+00  4.65022e-02
  6.30002e+01  7.43344e-04  3.52994e-02  1.79314e-03  4.25605e-02  0.00000e+00  8.49044e-04  3.36662e-02  0.00000e+00  4.47389e-02
